dhw_storage,electrical_storage,cooling_or_heating_device
-0.08,-0.08,-0.7437545776367187
-0.08,-0.08,0.0
-0.08,-0.08,-0.43343467712402345
-0.08,-0.08,0.5863910675048828
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4164451599121094
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.6368843078613281
-0.08,-0.08,0.0
-0.08,-0.08,-0.4608051300048828
-0.08,-0.08,0.0
-0.08,-0.08,-0.5082534790039063
-0.08,-0.08,0.0
-0.08,-0.08,-0.552975845336914
-0.08,-0.08,0.0
-0.08,-0.08,-0.7146636962890625
-0.08,-0.08,0.0
-0.08,-0.08,-0.7860157012939453
-0.08,-0.08,0.7159854888916015
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4892101287841797
0.091,0.091,0.0
-0.08,-0.08,-0.5672103881835937
-0.08,-0.08,0.0
-0.08,-0.08,-0.43640594482421874
-0.08,-0.08,0.0
-0.08,-0.08,-0.5469905853271484
-0.08,-0.08,0.0
-0.08,-0.08,-0.6559772491455078
-0.08,-0.08,0.0
-0.08,-0.08,-0.6994712829589844
-0.08,-0.08,0.0
-0.08,-0.08,-0.7039833068847656
-0.08,-0.08,0.8116832733154297
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.43849945068359375
0.091,0.091,0.0
-0.08,-0.08,-0.5377113342285156
-0.08,-0.08,0.0
-0.08,-0.08,-0.46559829711914064
-0.08,-0.08,0.0
-0.08,-0.08,-0.525225830078125
-0.08,-0.08,0.0
-0.08,-0.08,-0.6503177642822265
-0.08,-0.08,0.0
-0.08,-0.08,-0.7421646118164062
-0.08,-0.08,0.0
-0.08,-0.08,-0.8785369873046875
-0.08,-0.08,0.9299945831298828
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4032196044921875
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.7161067962646485
-0.08,-0.08,0.4107669830322266
-0.08,-0.08,0.0
-0.08,-0.08,-0.6930412292480469
-0.08,-0.08,0.0
-0.08,-0.08,-0.6063854217529296
-0.08,-0.08,0.0
-0.08,-0.08,-0.7565704345703125
-0.08,-0.08,0.0
-0.08,-0.08,-0.837677001953125
-0.08,-0.08,0.0
-0.08,-0.08,-0.5719512939453125
-0.08,-0.08,0.47321357727050783
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4505290985107422
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.5032672882080078
0.091,0.091,0.0
-0.08,-0.08,-0.46080474853515624
-0.08,-0.08,0.0
-0.08,-0.08,-0.6254196166992188
-0.08,-0.08,0.0
-0.08,-0.08,-0.61861572265625
-0.08,-0.08,0.0
-0.08,-0.08,-0.7941886901855468
-0.08,-0.08,0.0
-0.08,-0.08,-0.787762451171875
-0.08,-0.08,0.0
-0.08,-0.08,-0.5928966522216796
-0.08,-0.08,0.5815593719482421
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.43955459594726565
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.45235214233398435
0.091,0.091,0.42034339904785156
0.091,0.091,0.0
-0.08,-0.08,-0.8430366516113281
-0.08,-0.08,0.0
-0.08,-0.08,-0.5935474395751953
-0.08,-0.08,0.0
-0.08,-0.08,-0.652789306640625
-0.08,-0.08,0.0
-0.08,-0.08,-0.8412647247314453
-0.08,-0.08,0.0
-0.08,-0.08,-1.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.649591064453125
-0.08,-0.08,0.5746669769287109
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,-0.4885734558105469
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.469354248046875
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.5602989196777344
-0.08,-0.08,0.0
-0.08,-0.08,-0.508209228515625
-0.08,-0.08,0.0
-0.08,-0.08,-0.5089263916015625
-0.08,-0.08,0.0
-0.08,-0.08,-0.6187679290771484
-0.08,-0.08,0.0
-0.08,-0.08,-0.8196941375732422
-0.08,-0.08,0.0
-0.08,-0.08,-0.7006275177001953
-0.08,-0.08,0.605801773071289
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,-0.4173114776611328
0.091,0.091,0.4827484130859375
0.091,0.091,0.0
